numpy,cupy,dask,jax,pytorch,sparse
"numpy.ma.vander","","","","",""
"numpy.ma.var","","","","",""
"numpy.ma.vstack","","","","",""
"numpy.ma.where","","","","",""
"numpy.ma.zeros","","","","",""
"numpy.mask_indices","","","","",""
"numpy.mat","","","","",""
"numpy.matlib.empty","","","","",""
"numpy.matlib.eye","","","","",""
"numpy.matlib.identity","","","","",""
"numpy.matlib.ones","","","","",""
"numpy.matlib.rand","","","","",""
"numpy.matlib.randn","","","","",""
"numpy.matlib.repmat","","","","",""
"numpy.matlib.zeros","","","","",""
"numpy.matmul","cupy.matmul","matmul","matmul","torch.mm","matmul"
"numpy.maximum","cupy.maximum","maximum","maximum","torch.max",""
"numpy.maximum_sctype","","","","",""
"numpy.may_share_memory","","","","",""
"numpy.mean","cupy.mean","mean","mean","torch.mean",""
"numpy.median","","median","median","torch.median",""
"numpy.meshgrid","cupy.meshgrid","meshgrid","meshgrid","torch.meshgrid",""
"numpy.min_scalar_type","","","","",""
"numpy.minimum","cupy.minimum","minimum","minimum","torch.min",""
"numpy.mintypecode","","","","",""
"numpy.mirr","","","","",""
"numpy.mod","cupy.mod","","mod","",""
"numpy.modf","cupy.modf","modf","","",""
"numpy.moveaxis","cupy.moveaxis","moveaxis","moveaxis","",""
"numpy.msort","cupy.msort","","msort","",""
"numpy.multiply","cupy.multiply","","multiply","torch.mul",""
"numpy.nan_to_num","cupy.nan_to_num","nan_to_num","nan_to_num","",""
"numpy.nanargmax","cupy.nanargmax","nanargmax","","",""
"numpy.nanargmin","cupy.nanargmin","nanargmin","","",""
"numpy.nancumprod","","nancumprod","nancumprod","",""
"numpy.nancumsum","","nancumsum","nancumsum","",""
"numpy.nanmax","cupy.nanmax","nanmax","nanmax","","nanmax"
"numpy.nanmean","cupy.nanmean","nanmean","","","nanmean"
"numpy.nanmedian","","nanmedian","","",""
"numpy.nanmin","cupy.nanmin","nanmin","nanmin","","nanmin"
"numpy.nanpercentile","","","","",""
"numpy.nanprod","cupy.nanprod","nanprod","nanprod","","nanprod"
"numpy.nanquantile","","","","",""
"numpy.nanstd","cupy.nanstd","nanstd","","",""
"numpy.nansum","cupy.nansum","nansum","nansum","","nansum"
"numpy.nanvar","cupy.nanvar","nanvar","","",""
"numpy.negative","cupy.negative","","negative","torch.neg",""
"numpy.nested_iters","","","","",""
"numpy.nextafter","cupy.nextafter","nextafter","nextafter","",""
"numpy.nonzero","cupy.nonzero","nonzero","nonzero","torch.nonzero",""
"numpy.not_equal","cupy.not_equal","","not_equal","torch.ne",""
"numpy.nper","","","","",""
"numpy.npv","","","","",""
"numpy.obj2sctype","","","","",""
"numpy.ones","cupy.ones","ones","ones","torch.ones","ones"
"numpy.ones_like","cupy.ones_like","ones_like","ones_like","torch.ones_like","ones_like"
"numpy.outer","cupy.outer","outer","outer","","outer"
"numpy.packbits","cupy.packbits","","packbits","",""
"numpy.pad","cupy.pad","pad","pad","",""
"numpy.partition","cupy.partition","","","",""
"numpy.percentile","cupy.percentile","percentile","percentile","",""
"numpy.piecewise","","piecewise","","",""
"numpy.place","cupy.place","","","",""
"numpy.pmt","","","","",""
"numpy.poly","","","","",""
"numpy.polyadd","","","","",""
"numpy.polyder","","","","",""
"numpy.polydiv","","","","",""
"numpy.polyfit","","","","",""
"numpy.polyint","","","","",""
"numpy.polymul","","","","",""
"numpy.polynomial.chebyshev.cheb2poly","","","","",""
"numpy.polynomial.chebyshev.chebadd","","","","",""
"numpy.polynomial.chebyshev.chebcompanion","","","","",""
"numpy.polynomial.chebyshev.chebder","","","","",""
"numpy.polynomial.chebyshev.chebdiv","","","","",""
"numpy.polynomial.chebyshev.chebfit","","","","",""
"numpy.polynomial.chebyshev.chebfromroots","","","","",""
"numpy.polynomial.chebyshev.chebgauss","","","","",""
"numpy.polynomial.chebyshev.chebgrid2d","","","","",""
"numpy.polynomial.chebyshev.chebgrid3d","","","","",""
"numpy.polynomial.chebyshev.chebint","","","","",""
"numpy.polynomial.chebyshev.chebline","","","","",""
"numpy.polynomial.chebyshev.chebmul","","","","",""
"numpy.polynomial.chebyshev.chebmulx","","","","",""
"numpy.polynomial.chebyshev.chebpow","","","","",""
"numpy.polynomial.chebyshev.chebroots","","","","",""
"numpy.polynomial.chebyshev.chebsub","","","","",""
"numpy.polynomial.chebyshev.chebtrim","","","","",""
"numpy.polynomial.chebyshev.chebval","","","","",""
"numpy.polynomial.chebyshev.chebval2d","","","","",""
"numpy.polynomial.chebyshev.chebval3d","","","","",""
"numpy.polynomial.chebyshev.chebvander","","","","",""
"numpy.polynomial.chebyshev.chebvander2d","","","","",""
"numpy.polynomial.chebyshev.chebvander3d","","","","",""
"numpy.polynomial.chebyshev.chebweight","","","","",""
"numpy.polynomial.chebyshev.poly2cheb","","","","",""
"numpy.polynomial.hermite.herm2poly","","","","",""
"numpy.polynomial.hermite.hermadd","","","","",""
"numpy.polynomial.hermite.hermcompanion","","","","",""
"numpy.polynomial.hermite.hermder","","","","",""
"numpy.polynomial.hermite.hermdiv","","","","",""
"numpy.polynomial.hermite.hermfit","","","","",""
"numpy.polynomial.hermite.hermfromroots","","","","",""
"numpy.polynomial.hermite.hermgauss","","","","",""
"numpy.polynomial.hermite.hermgrid2d","","","","",""
"numpy.polynomial.hermite.hermgrid3d","","","","",""
"numpy.polynomial.hermite.hermint","","","","",""
"numpy.polynomial.hermite.hermline","","","","",""
"numpy.polynomial.hermite.hermmul","","","","",""
"numpy.polynomial.hermite.hermmulx","","","","",""
"numpy.polynomial.hermite.hermpow","","","","",""
"numpy.polynomial.hermite.hermroots","","","","",""
"numpy.polynomial.hermite.hermsub","","","","",""
"numpy.polynomial.hermite.hermtrim","","","","",""
"numpy.polynomial.hermite.hermval","","","","",""
"numpy.polynomial.hermite.hermval2d","","","","",""
"numpy.polynomial.hermite.hermval3d","","","","",""
"numpy.polynomial.hermite.hermvander","","","","",""
"numpy.polynomial.hermite.hermvander2d","","","","",""
"numpy.polynomial.hermite.hermvander3d","","","","",""
"numpy.polynomial.hermite.hermweight","","","","",""
"numpy.polynomial.hermite.poly2herm","","","","",""
"numpy.polynomial.hermite_e.herme2poly","","","","",""
"numpy.polynomial.hermite_e.hermeadd","","","","",""
"numpy.polynomial.hermite_e.hermecompanion","","","","",""
"numpy.polynomial.hermite_e.hermeder","","","","",""
"numpy.polynomial.hermite_e.hermediv","","","","",""
"numpy.polynomial.hermite_e.hermefit","","","","",""
"numpy.polynomial.hermite_e.hermefromroots","","","","",""
"numpy.polynomial.hermite_e.hermegauss","","","","",""
"numpy.polynomial.hermite_e.hermegrid2d","","","","",""
"numpy.polynomial.hermite_e.hermegrid3d","","","","",""
